order,edge probability,query execution time,found
20,0.9,177,true
30,0.9,637,true
30,0.9,655,true
30,0.9,636,true
30,0.9,636,true
40,0.9,1470,true
40,0.9,1486,true
40,0.9,1469,true
40,0.9,1466,true
50,0.9,3000,true
50,0.9,3064,true
50,0.9,3034,true
50,0.9,3019,true
60,0.9,5318,true
60,0.9,5282,true
60,0.9,5254,true
60,0.9,5284,true
70,0.9,8273,true
70,0.9,8323,true
70,0.9,8224,true
70,0.9,8237,true
80,0.9,12649,true
80,0.9,12671,true
80,0.9,12705,true
80,0.9,12675,true
90,0.9,17917,true
90,0.9,17861,true
90,0.9,17746,true
90,0.9,17839,true
100,0.9,24615,true
100,0.9,24600,true
100,0.9,24402,true
100,0.9,24322,true
110,0.9,33580,true
110,0.9,33445,true
110,0.9,33262,true
110,0.9,33218,true
120,0.9,43082,true
120,0.9,43216,true
120,0.9,43168,true
120,0.9,43473,true
130,0.9,56295,true
130,0.9,56282,true
130,0.9,55701,true
130,0.9,55782,true
140,0.9,71614,true
140,0.9,70218,true
140,0.9,70222,true
140,0.9,70331,true
150,0.9,86603,true
150,0.9,86384,true
150,0.9,86211,true
150,0.9,86361,true
10,1.0,28,true
10,1.0,27,true
10,1.0,28,true
10,1.0,27,true
20,1.0,234,true
20,1.0,234,true
20,1.0,239,true
20,1.0,235,true
30,1.0,801,true
30,1.0,805,true
30,1.0,812,true
30,1.0,801,true
40,1.0,1957,true
40,1.0,1956,true
40,1.0,1944,true
40,1.0,1941,true
50,1.0,3863,true
50,1.0,3837,true
50,1.0,3866,true
50,1.0,3874,true
60,1.0,6765,true
60,1.0,6791,true
60,1.0,6813,true
60,1.0,6724,true
70,1.0,10846,true
70,1.0,10909,true
70,1.0,10778,true
70,1.0,10889,true
80,1.0,16298,true
80,1.0,16402,true
80,1.0,16512,true
80,1.0,16281,true
90,1.0,23648,true
90,1.0,23727,true
90,1.0,23612,true
90,1.0,23464,true
100,1.0,32713,true
100,1.0,32923,true
100,1.0,32825,true
100,1.0,32369,true
110,1.0,43980,true
110,1.0,43994,true
110,1.0,43463,true
110,1.0,43739,true
120,1.0,57652,true
120,1.0,56546,true
120,1.0,56638,true
120,1.0,57184,true
130,1.0,73238,true
130,1.0,73443,true
130,1.0,73278,true
130,1.0,73268,true
140,1.0,92783,true
140,1.0,92407,true
140,1.0,91680,true
140,1.0,92742,true
150,1.0,114924,true
150,1.0,113732,true
150,1.0,115093,true
150,1.0,115993,true
